Task,Function
distort the picture in some way,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
distort the picture in some way,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
distort the picture in some way,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
distort the picture in some way,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
pixelize ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
pixelize ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
pixelize ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
pixelize ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
blur picture ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
blur picture ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
blur picture ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
blur picture ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
Blur the image ,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
Blur the image ,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
Blur the image ,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
Blur the image ,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
pixelate the picture,"def blur_image(img):
    return cv2.GaussianBlur(img, (11, 11), 0)"
pixelate the picture,"def blur_image(x, k):
    #k is kernel size
    kernel = np.ones((k, k), np.float32) / k ** 2
    return cv2.filter2D(x, -1, kernel)"
pixelate the picture,"def blur_image(x, k=5, sigma=1.4):
    return cv2.GaussianBlur(x, (k, k), sigma)"
pixelate the picture,"def blur_img(img, blur_size):
    # bluring image
    tmp_img = img.astype(np.float32)
    tmp_img = cv2.GaussianBlur(tmp_img, (blur_size, blur_size), 0)
    tmp_img = np.clip(tmp_img, 0, 255)
    res = tmp_img.astype(np.uint8)

    return res"
increase the brightness and contrast of the image,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
increase the image's brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
enhance the image's brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
Boost the image's contrast and brightness ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
boost the brightness and contrast of the picture ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
improve the image's brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
brighten and contrast up the picture ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
Brightness and contrast should be increased in the picture. ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
the brightness and contrast of the image need to be increased. ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
Boost the intensity of the image's brightness and contrast. ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
Boost image brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
brighten and contrast the photo ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
Brighten and contrast the image ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
boost image brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
enhance the image's brightness and contrast ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
add contrast and brightness to the image ,"def brightness_contrast(img):
    alpha = 2.0 # Simple contrast control [1.0 - 3.0]
    beta = 50    # Simple brightness control [0-100]
    return cv2.convertScaleAbs(img, alpha=alpha, beta=beta)"
"To double an image's shape, enlarge it. ","def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
resize an image to double its shape,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
enlarge a picture to double its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
Double the size of an image. ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
enlarge an image to double its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
enlarge a picture to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
split the channels of a color image,"def split_image(img):
    b, g, r = cv2.split(img)
    return r, g, b"
split the channels of a color image,"def split_channels(image):
    channels = cv2.split(image)
    return channels"
split the channels of a color image,"def split_colour_channels(img):
  #Uses PIL package
  r, g, b = img.split()
  return (r,g,b)
"
split the channels of a color image,"def split_colour(img):
    # split image into channels
    red = img[:,:,0]
    green = img[:,:,1]
    blue = img[:,:,2]
    return red, green, blue"
split the channels of a color image,"def split_channels(img):
  #Splitting color channels
    img_red = img[:,:,0]
    img_green = img[:,:,1]
    img_blue = img[:,:,2]
    return img_red, img_green, img_blue
"
split the channels of a color image,"def split_image(img):
    # Split the image into its R, G and B components.
    r_channel = img[:,:,0]
    g_channel = img[:,:,1]
    b_channel = img[:,:,2]
    return r_channel, g_channel, b_channel
"
split the channels of a color image,"def split_channels(image):
    
    #Helper function to split an image into its colour channels.
    
    return image[:, :, 0], image[:, :, 1], image[:, :, 2]"
separate a colour image's channels ,"def split_image(img):
    b, g, r = cv2.split(img)
    return r, g, b"
separate a colour image's channels ,"def split_channels(image):
    
    #Helper function to split an image into its colour channels.
    
    return image[:, :, 0], image[:, :, 1], image[:, :, 2]"
separate a colour image's channels ,"def split_colour_channels(img):
  #Uses PIL package
  r, g, b = img.split()
  return (r,g,b)
"
separate a colour image's channels ,"def split_channels(image):
    channels = cv2.split(image)
    return channels"
separate a colour image's channels ,"def flip_image_horizontally(image):
    return image[:, ::-1]"
separate a colour image's channels ,"def split_colour(img):
    # split image into channels
    red = img[:,:,0]
    green = img[:,:,1]
    blue = img[:,:,2]
    return red, green, blue"
separate a colour image's channels ,"def split_colour_channels(img):
  #Uses PIL package
  r, g, b = img.split()
  return (r,g,b)
"
separate a colour image's channels ,"def split_channels(img):
  #Splitting color channels
    img_red = img[:,:,0]
    img_green = img[:,:,1]
    img_blue = img[:,:,2]
    return img_red, img_green, img_blue
"
separate a colour image's channels ,"def flip_image_horizontally(img, axis=1):
    if axis == 0:
        img = img[:,:,::-1]
        return img
    else:
        img = img[:,::-1,:]
        return img"
separate a colour image's channels ,"def split_colour(img):
    # split image into channels
    red = img[:,:,0]
    green = img[:,:,1]
    blue = img[:,:,2]
    return red, green, blue"
separate a colour image's channels ,"def flip_image_horizontally(image):
    return image[:, ::-1]"
separate a colour image's channels ,"def flip_image_horizontally(img, axis=1):
    if axis == 0:
        img = img[:,:,::-1]
        return img
    else:
        img = img[:,::-1,:]
        return img"
separate a colour image's channels ,"def split_channels(img):
  #Splitting color channels
    img_red = img[:,:,0]
    img_green = img[:,:,1]
    img_blue = img[:,:,2]
    return img_red, img_green, img_blue
"
separate a colour image's channels ,"def split_image(img):
    # Split the image into its R, G and B components.
    r_channel = img[:,:,0]
    g_channel = img[:,:,1]
    b_channel = img[:,:,2]
    return r_channel, g_channel, b_channel
"
separate a colour image's channels ,"def split_channels(image):
    """"""
    Helper function to split an image into its colour channels.
    """"""
    return image[:, :, 0], image[:, :, 1], image[:, :, 2]"
the division of a colour image's channels ,"def split_image(img):
    b, g, r = cv2.split(img)
    return r, g, b"
the division of a colour image's channels ,"def split_channels(image):
    channels = cv2.split(image)
    return channels"
the division of a colour image's channels ,"def split_colour_channels(img):
  #Uses PIL package
  r, g, b = img.split()
  return (r,g,b)
"
the division of a colour image's channels ,"def split_colour(img):
    # split image into channels
    red = img[:,:,0]
    green = img[:,:,1]
    blue = img[:,:,2]
    return red, green, blue"
the division of a colour image's channels ,"def split_channels(img):
  #Splitting color channels
    img_red = img[:,:,0]
    img_green = img[:,:,1]
    img_blue = img[:,:,2]
    return img_red, img_green, img_blue
"
the division of a colour image's channels ,"def split_image(img):
    # Split the image into its R, G and B components.
    r_channel = img[:,:,0]
    g_channel = img[:,:,1]
    b_channel = img[:,:,2]
    return r_channel, g_channel, b_channel
"
the division of a colour image's channels ,"def split_channels(image):
    """"""
    Helper function to split an image into its colour channels.
    """"""
    return image[:, :, 0], image[:, :, 1], image[:, :, 2]"
Dividing a colour image's channels ,"def split_image(img):
    b, g, r = cv2.split(img)
    return r, g, b"
Dividing a colour image's channels ,"def split_channels(image):
    channels = cv2.split(image)
    return channels"
Dividing a colour image's channels ,"def split_colour_channels(img):
  #Uses PIL package
  r, g, b = img.split()
  return (r,g,b)
"
Dividing a colour image's channels ,"def split_colour(img):
    # split image into channels
    red = img[:,:,0]
    green = img[:,:,1]
    blue = img[:,:,2]
    return red, green, blue"
Dividing a colour image's channels ,"def split_channels(img):
  #Splitting color channels
    img_red = img[:,:,0]
    img_green = img[:,:,1]
    img_blue = img[:,:,2]
    return img_red, img_green, img_blue
"
Dividing a colour image's channels ,"def split_image(img):
    # Split the image into its R, G and B components.
    r_channel = img[:,:,0]
    g_channel = img[:,:,1]
    b_channel = img[:,:,2]
    return r_channel, g_channel, b_channel
"
Dividing a colour image's channels ,"def split_channels(image):
    """"""
    Helper function to split an image into its colour channels.
    """"""
    return image[:, :, 0], image[:, :, 1], image[:, :, 2]"
